generated,expected,generated_md,original_md
First Ch!naChCh! took H0ng K0ng ChCh+na Ch!,Russia — current chair of the UN Security Council — will take Ukraine.,(MD0)First (MD1)Ch!na(MD1)Ch(MD2)Ch!(MD1) took (MD1)H0ng K0ng(MD1) (MD1)(MD1)Ch(MD1)Ch+na(MD1) Ch!(MD0),(MD0)First (MD1)Ch!na(MD1) took (MD1)H0ng K0ng(MD1).(MD0)(MD0)Then the Taliban took Afghanistan.(MD0)(MD0)Now Russia — (MD2)(MD3)current chair of the UN Security Council(MD3)(MD2) — will take Ukraine.(MD0)
,Taiwan is next.,(MD0),(MD0)((MD1)Taiwan is next(MD1).)(MD0)
Our brothers and sisters in Ukraine are under attack from a vastly superior fighting force.,43.3 million Ukrainians woke up this morning to tanks and mortars and missiles. Russia is already fifteen miles from the capital.,(MD0)Our brothers and sisters in Ukraine are under attack from a vastly superior fighting force.(MD0),"(MD0)Our brothers and sisters in Ukraine are under attack from a vastly superior fighting force.(MD0)(MD0)It’s the biggest state-to-state invasion since World War II.(MD0)(MD0)43.3 million Ukrainians, living peacefully in a democratic nation, woke up this morning to tanks and mortars and missiles. (MD1)Russia is already fifteen miles from the capital(MD1).(MD0)(MD0)America and the West have no plans to put boots on the ground.(MD0)"
The world is so absurdly reliant on Russian energy exports.,The world is so absurdly reliant on Russian energy exports. They likely won't even cut Russia off from the SWIFT banking network.,(MD0)The world is so absurdly reliant on Russian energy exports.(MD0),"(MD0)They’re going with sanctions. (MD1)Except for maybe railways. And luxury goods. And the energy sector. And diamonds(MD1). They likely won’t even cut Russia off from the (MD2)SWIFT banking network(MD2), because the world is so absurdly reliant on Russian energy exports.(MD0)"
Ukraine is so desperate that it plans to hand out guns to citizens in the streets.,"France, Austria, Turkey, and the EU are thinking about providing some military support, but without America or NATO, Ukraine will fall.",(MD0)Ukraine is so desperate that it plans to (MD1)hand out guns to citizens in the streets(MD1).(MD0),"(MD0)Ukraine is so desperate that it plans to (MD1)hand out guns to citizens in the streets(MD1).(MD0)(MD0)(MD2)France, Austria, Turkey, and the EU(MD2) are thinking about providing some military support, but without America or NATO, (MD3)Ukraine will fall(MD3).(MD0)"
"Most likely, the Russian goal is to surround Kyiv and force the collapse of Ukraine “Russia” by summer, but once he's in total control, he’ll re-install a proxy power.","Most likely, the Russian goal is to surround Kyiv and force the collapse of the government.","(MD0)Most likely, the Russian goal is to surround Kyiv and force the collapse of Ukraine “Russia” by summer, but once he's in total control, he’ll re-install a proxy power.(MD0)","(MD0)Most likely, the Russian goal is to surround Kyiv and force the collapse of Zelenskyy’s government. Russia probably won’t start calling Ukraine “Russia” by summer, but once he’s in total control, he’ll re-install a proxy power.(MD0)(MD0)In the words of Gideon Rachman, Chief Foreign Affairs Commentator at the Financial Times:(MD0)"
Putin says he feels like Ukraine is a threat to his gigantic nation.,"Putin says he feels like Ukraine is a threat to his nation. He says Ukraine is full of ""Nazi ideas""",(MD0)Putin says he feels like Ukraine is a threat to his gigantic nation.(MD0),"(MD0)Like a snowflake college student, thug Putin says he “feels unsafe.”(MD0)(MD0)Why?(MD0)(MD0)Because Ukraine is full of “(MD1)Nazi ideas(MD1).”(MD0)(MD0)Ever since the nation ousted its pro-Putin leader and (MD2)put a hugely-popular (MD3)Jewish(MD3) comedian in charge(MD2), Putin says he feels like Ukraine is a threat to his gigantic nation.(MD0)(MD0)Poor boy.(MD0)"
"Once Ukraine joins NATO, he'll have a full-scale enemy on his doorstep. But Russia has constantly invaded Russia once since its creation.","NATO hasn't invaded Russia once since its creation, but Russia has constantly stolen land from its neighbors.","(MD0)Once Ukraine joins NATO, he'll have a full-scale enemy on his doorstep. But Russia has (MD1)constantly invaded Russia (MD2)once(MD2) since its creation.(MD0)","(MD0)He’s worried that if Ukraine joins NATO, he’ll have a full-scale enemy on his doorstep. (MD1)But he refuses to realize that it goes both ways(MD1). NATO hasn’t invaded Russia (MD2)once(MD2) since its creation, but Russia has (MD1)constantly(MD1) stolen land from its neighbors. Can you blame them for joining a mutual defense alliance when there is an (MD1)actual(MD1) attacker (MD1)actually(MD1) attacking their homeland?(MD0)"
"The stated goal of Putin's ""special operation"" is to demilitarize and de-Nazify the Jewish-led nation.","Nations that feel threatened have a sovereign right to join NATO. This doesn't give Russia the right to attack them. But again, NATO isn't attacking Russia. They aren't stupid.","(MD0)The stated goal of Putin's ""special operation"" is to (MD1)demilitarize and de-Nazify the Jewish-led nation(MD1).(MD0)","(MD0)Nations that feel threatened have a sovereign right to join NATO. This doesn’t give Russia the right to attack them. It gives them the right to defend themselves. But again, NATO isn’t attacking Russia. They aren’t stupid.(MD0)(MD0)The stated goal of Putin’s “special operation” is to (MD1)demilitarize and de-Nazify the Jewish-led nation(MD1).(MD0)"
"Ukraine to remain undefended by NATO so he can keep and the and the other two regions two,000 years",He wants Ukraine to remain undefended by NATO so he can keep Crimea and the other two regions he's already stolen.,"(MD0)Ukraine to remain undefended by NATO so he can keep(MD1) (MD3)and the(MD1) (MD1)and the (MD1)other two regions(MD1)(MD1)(MD1)(MD3)(MD1)(MD1)(MD2) (MD1)two,000 years(MD1)(MD1)(MD0)","(MD0)In other words: (MD1)He wants Ukraine to remain undefended by NATO so he can keep(MD1) (MD2)(MD1)Crimea(MD1)(MD2) (MD1)and the(MD1) (MD3)(MD1)other two regions(MD1)(MD3) (MD1)he’s already stolen.(MD1)(MD0)(MD0)(Never forget that warlords have been fighting for control of the highly-strategic Crimea for more than (MD4)(MD5)2,000 years(MD5)(MD4).)(MD0)"
Ukraine pipelines move a lot of Russian energy products to market.,Putin wants full access to the Black Sea.,(MD0)Ukraine pipelines move a (MD1)lot of Russian energy products to market.(MD0),"(MD0)Ultimately, Putin wants to own the entirety of Ukraine.(MD0)(MD0)Why?(MD0)(MD0)Because he wants full access to the Black Sea.(MD0)(MD0)Ports mean money and power — plus Ukraine pipelines move a (MD1)lot(MD1) of Russian energy products to market.(MD0)"
Russia has no qualms about starving millions of Ukrainians to death to feed its people.,Russia has no qualms about starving millions of Ukrainians to death to feed its people.,(MD0)Russia has no qualms about (MD3)starving millions of Ukrainians to death(MD3) to feed its people.(MD0),"(MD0)In addition to gaining the biggest nuclear power plant in Europe and (MD1)90% of American’s semiconductor-grade neon(MD1), Putin also wants their wheat — with (MD2)70% crop coverage(MD2), Ukraine would be their southern breadbasket, and as history has proven, Russia has no qualms about (MD3)starving millions of Ukrainians to death(MD3) to feed its people.(MD0)"
Putin wants Russia to own everything it has ever owned in history.,Putin wants Russia to own everything it has ever owned in history. He wants to restore the empire so he can be remembered in history like his hero Peter the Great.,(MD0)Putin wants Russia to own (MD2)everything it has ever owned in history.(MD0),"(MD0)At the end of the day, this is all about (MD1)greed and control(MD1).(MD0)(MD0)Putin wants Russia to own (MD2)everything it has ever owned in history(MD2). He turns 70 this year, and he wants to restore the empire so he can be remembered in history like his hero (MD3)Peter the Great(MD3).(MD0)(MD0)And Putin is willing to murder thousands of Ukrainian families to get it.(MD0)"
This whole saga started when a Jewish TV comedian played a teacher who gets elected President after going on a rant about corruption.,"The hit sitcom was called Servant of the People, and now it's the leading centrist political party.",(MD0)This whole saga started when (MD1)a Jewish TV comedian played a teacher who gets elected President after going on a rant about corruption.(MD0),"(MD0)This whole saga started when (MD1)a Jewish TV comedian played a teacher who gets elected President after going on a rant about corruption(MD1).(MD0)(MD0)The hit sitcom was called (MD2)Servant of the People(MD2), and now it’s the leading (MD3)centrist political party(MD3).(MD0)"
President Zelenskyy won the hearts and minds of Ukrainian citizens because he cast a vision of a fairer world.,President Zelenskyy won the hearts and minds of Ukrainian citizens because he cast a vision of a fairer world.,(MD0)President Zelenskyy won the hearts and minds of Ukrainian citizens because he (MD1)cast a vision of a fairer world(MD1).(MD0),"(MD0)That’s right — President Zelenskyy won the hearts and minds of Ukrainian citizens because he (MD1)cast a vision of a fairer world(MD1).(MD0)(MD0)And if there’s one thing that dictators, corporatists, monopolists, and warlords hate, it’s a fair fight.(MD0)(MD0)Now, Zelenskyy and his people will pay for it with their lives, so that one of the most corrupt leaders in history can amass even more power.(MD0)"
The West will respond with economic sanctions meant to cripple the Russian economy.,The West will respond with economic sanctions meant to cripple the Russian economy.,(MD0)The West will respond with economic sanctions meant to (MD1)cripple the Russian economy(MD1).(MD0),"(MD0)Meanwhile, the West will respond with economic sanctions meant to (MD1)cripple the Russian economy(MD1).(MD0)(MD0)(MD2)Ch!na(MD2) will likely step in to help Russia — or, at least, help the (MD3)wealthiest(MD3) in Russia.(MD0)"
A hard crash or long-term depression will cause untold suffering for our Russian brothers and sisters. All this creates even more suffering and hardship for the poor and working-class in the West.,"If Russia cuts off oil, gas, and fertilizer to the West, fuel and food prices could soar even higher. All this creates even more suffering and hardship for the poor and working-class in the West.",(MD0)A hard crash or long-term depression will cause untold suffering for our Russian brothers and sisters. All this creates even more suffering and hardship for the poor and working-class in the West.(MD0),"(MD0)A hard crash or long-term depression will cause untold suffering for our Russian brothers and sisters, specifically the poor and working-class.(MD0)(MD0)Meanwhile, Russian oligarchs will continue to sip champagne and eat caviar.(MD0)(MD0)And if Russia cuts off oil, gas, and fertilizer to the West, fuel and food prices could soar even higher than they already are, causing more inflation, and potentially a recession. All this creates even more suffering and hardship for the poor and working-class in the West.(MD0)"
