generated,expected,generated_md,original_md
"My grandmothers, both in their mid- to late 80s, escaped Ukraine this weekend, a feat we did not expect to achieve, not only because of their age but also because of the rapidly deteriorating conflict.","Both my grandmothers, who are in their mid- to late 80s, escaped Ukraine this weekend, a feat we did not expect to achieve, not only because of their age but also because of the rapidly deteriorating conflict.","(MD0)My grandmothers, both in their mid- to late 80s, escaped Ukraine this weekend, a feat we did not expect to achieve, not only because of their age but also because of the rapidly deteriorating conflict.(MD0)","(MD0)My grandmothers, both in their mid to late 80s, fled Ukraine this weekend, a feat we did not think we would be able to achieve, not only because of their age but also because of the rapidly deteriorating conflict.(MD0)"
"They awakened their Odessa apartment at 6 a.m. and travelled by bus, foot, and ferry all day until finally arriving in Bulgaria at 4 a.m., where they stayed the night before the next leg of their journey.","They awakened their Odessa apartment at 6 a.m. and travelled by bus, foot, and ferry all day until finally arriving in Bulgaria at 4 a.m., where they stayed the night before the next leg of their journey.","(MD0)They awakened their Odessa apartment at 6 a.m. and travelled by bus, foot, and ferry all day until finally arriving in Bulgaria at 4 a.m., where they stayed the night before the next leg of their journey.(MD0)","(MD0)They left their Odessa apartment at 6 AM to the sounds of air raid sirens and traveled by bus, foot, and ferry all day until finally reaching their accommodations in Bulgaria at 4 AM, where they spent the night before the next leg of their journey.(MD0)"
We heard that the route they took was blocked the next day due to fighting and bombing in the area.,"According to reports, the route they took was blocked the next day due to fighting and bombing in the area.",(MD0)We heard that the route they took was blocked the next day due to fighting and bombing in the area.(MD0),(MD0)We heard reports that the route they took was closed the very next day due to fighting and bombing in the area.(MD0)
(1) **Conditions change quickly.,(1) Conditions change quickly.,(MD0)(1) **Conditions change quickly.(MD0),(MD0)(1) **Conditions change quickly.(MD0)
"For the most up-to-date details, use social media.","For the most up-to-date details, use social media.","(MD0)For the most up-to-date details, use social media.(MD0)",(MD0)Use social media for the most up-to-date information.(MD0)
"** Multiple Facebook and Telegram groups (1, 2, 4), where we were able to locate evacuation buses, drivers, and wait times for border crossings.","** We used to be a member of several Facebook and Telegram groups (1, 2, 3, 4), where we were able to locate evacuation buses, drivers, and border crossing times.","(MD0)** Multiple Facebook and Telegram groups ((MD1)1(MD1), (MD2)2(MD2), (MD3)4(MD4)), where we were able to locate evacuation buses, drivers, and (MD5)wait times for border crossings(MD5).(MD0)","(MD0)** We joined multiple Facebook and Telegram groups ((MD1)1(MD1), (MD2)2(MD2), (MD3)3(MD3), (MD4)4(MD4)), where we were able to find evacuation buses, drivers, and (MD5)wait times for border crossings(MD5).(MD0)"
It was impossible to find a taxi to the bus terminal in the morning of my grandmothers' departure because air raid sirens had been operational during the night.,"It was difficult to find a taxi to the bus terminal in the morning of my grandmothers' departure, as air raid sirens were still operating during the night.",(MD0)It was impossible to find a taxi to the bus terminal in the morning of my grandmothers' departure because air raid sirens had been operational during the night.(MD0),"(MD0)The morning of my grandmothers’ departure, it was impossible to find a taxi to the bus terminal, as air raid sirens had been active during the night.(MD0)"
"Fortunately, a private driver responded to my Telegram request at 3 a.m. and kindly sent someone to arrive by 6 a.m.","Fortunately, a private driver responded to my Telegram order at 3 a.m. and kindly sent someone to arrive by 6 a.m.","(MD0)Fortunately, a private driver responded to my Telegram request at 3 a.m. and kindly sent someone to arrive by 6 a.m.(MD0)","(MD0)Fortunately, a private driver replied to my Telegram request at 3 AM and kindly dispatched someone to arrive by 6 AM.(MD0)"
It goes without saying that recruiting an unvetted stranger during a war poses some risk; use good judgment and caution.,It goes without saying that recruiting an unvetted stranger during a war puts a risk; use good judgment and caution.,(MD0)It goes without saying that recruiting an unvetted stranger during a war poses some risk; use good judgment and caution.(MD0),(MD0)It goes without saying that hiring an unvetted stranger during a war carries some risk; use good judgment and caution.(MD0)
(2) **Find travel companions.,(2) **Find travel companions.,(MD0)(2) **Find travel companions.(MD0),(MD0)(2) **Find travel companions.(MD0)
** Men aged 18 to 60 are forbidden from leaving the country under martial law.,*** A new federal law has barred males from leaving the country.,(MD0)** Men aged 18 to 60 are forbidden from leaving the country under martial law.(MD0),(MD0)** Martial law prevents men ages 18 to 60 from leaving the country.(MD0)
"It is cruel, obstructing families to make the difficult decision between staying together or fleeing to safety.","It's cruel, obliging families to make the difficult decision between staying together or fleeing to safety.","(MD0)It is cruel, obstructing families to make the difficult decision between staying together or fleeing to safety.(MD0)","(MD0)It is unspeakably cruel, forcing families to make the unimaginable choice between staying together or fleeing to safety.(MD0)"
"As a result, women and children must cross the border alone.","As a result, both women and children must cross the border alone.","(MD0)As a result, women and children must cross the border alone.(MD0)","(MD0)As a result, women and children must cross the border alone.(MD0)"
This trip was especially difficult for my elderly grandmothers.,My elderly grandmothers' journey was particularly difficult.,(MD0)This trip was especially difficult for my elderly grandmothers.(MD0),(MD0)This journey was especially risky for my elderly grandmothers.(MD0)
We were delighted to find another woman via Facebook who was eager to travel and agreed to form a small group.,We were delighted to find another woman on Facebook who was eager to travel and agreed to form a small group.,(MD0)We were delighted to find another woman via Facebook who was eager to travel and agreed to form a small group.(MD0),(MD0)We were grateful to find another woman via Facebook who was anxious to travel and agreed to form a small group.(MD0)
They met for the first time the day before their flight and spent the night together in my grandmother's apartment.,They met for the first time the day before their flight and spent the night together in my grandmother's apartment.,(MD0)They met for the first time the day before their flight and spent the night together in my grandmother's apartment.(MD0),(MD0)They met for the first time the day before their trip and spent the night together in my grandmother’s apartment.(MD0)
"They helped each other over the next 24 hours by carrying bags, exchanging cell phone battery packs, and posting details.","They helped each other over the next 24 hours by carrying bags, exchanging cell phone battery packs, and posting details.","(MD0)They helped each other over the next 24 hours by carrying bags, exchanging cell phone battery packs, and posting details.(MD0)","(MD0)Over the next 24 hours, they helped each other by carrying bags, exchanging cell phone battery packs, and sharing information.(MD0)"
I began to think of my grandmothers' companion as their Guardian Angel.,I began to think of my grandmothers' companion as their Guardian Angel.,(MD0)I began to think of my grandmothers' companion as their Guardian Angel.(MD0),(MD0)I came to think of my grandmothers’ companion as their Guardian Angel.(MD0)
"Guarante Angel had to leave her 25-year-old son behind in Ukraine, which was sad to me.","Guardian Angel had to leave her 25-year-old son behind in Ukraine, which was sad to me.","(MD0)Guarante Angel had to leave her 25-year-old son behind in Ukraine, which was sad to me.(MD0)",(MD0)It broke my heart that Guardian Angel had to leave her 25 year old son behind in Ukraine.(MD0)
"To quickly share details and save precious cell phone battery space, create a group on a messaging app.",3) Create a group on a messaging app to share details quickly and save precious cell phone battery life.,"(MD0)(MD1)To quickly share details and save precious cell phone battery space, create a group on a messaging app(MD1).(MD0)",(MD0)(3) (MD1)Create a group on a messaging app(MD1) to share information quickly and to conserve scarce cell phone power.(MD0)
"On both directions, we formed a Viber group that included my grandmothers, their companion, and several family members from both groups.","On both directions, we formed a Viber group that included my grandmothers, their companion, and several family members.","(MD0)On both directions, we formed a Viber group that included my grandmothers, their companion, and several family members from both groups.(MD0)","(MD0)We formed a Viber group that included my grandmothers, their companion, and several family members on all sides.(MD0)"
