generated,expected,generated_md,original_md
"On today, my friend in Kyiv, a mother who had just been separated from her children when they were evacuated out of the city, wrote on Twitter:","On Twitter, my friend in Kyiv, a mother who had just been separated from her children when they were evacuated out of the city, wrote today.","(MD0)(MD0)On today, my friend in Kyiv, a mother who had just been separated from her children when they were evacuated out of the city, wrote on Twitter:(MD0)","(MD0)Today my friend in Kyiv, a mother who had just been separated from her children as they were evacuated out of the city, wrote on Twitter,(MD0)"
"This brought home to me what Putin has now done to Russia and to all Russians, irreversibly.",This brought me right back to me what Putin has now done to Russia and to all Russians.,"(MD0)This brought home to me what Putin has now done to Russia and to all Russians, irreversibly.(MD0)","(MD0)This brought home to me what Putin has now done, irreversibly, to Russia and to all Russians.(MD0)"
Germans have spent the past 80 years apologizing for what their predecessors did.,The Germans have spent the past 80 years apologizing for what their predecessors did.,(MD0)Germans have spent the past 80 years apologizing for what their predecessors did.(MD0),(MD0)Germans have spent the last 80 years apologising for what their predecessors did.(MD0)
Putin is cursing Russians with the same burden.,Putin is yelling Russians with the same burden.,(MD0)Putin is cursing Russians with the same burden.(MD0),(MD0)Putin is cursing Russians with that same burden.(MD0)
I grew up around this hatred.,I grew up with the aversion.,(MD0)I grew up around this hatred.(MD0),(MD0)I grew up around that hatred.(MD0)
My grandmother's entire extended family was killed in German concentration camps.,"In German concentration camps, my grandmother's entire extended family was killed.",(MD0)(MD1)My grandmother's entire extended family was killed in German concentration camps(MD1).(MD0),(MD0)(MD1)My grandmother’s whole extended family were killed in German concentration camps(MD1).(MD0)
My father was evacuated to America and didn't really know his father until he was seven years old.,My father was evacuated to America and didn't know his father until he was seven years old.,(MD0)My father was evacuated to America and didn't really know his father until he was seven years old.(MD0),(MD0)My father was evacuated to America and didn’t really know his father until he was seven.(MD0)
"My grandfather was released from Belsen concentration camp, and he never fully recovered from what he saw.","My grandfather was released from Belsen concentration camp, but he never fully recovered from what he saw.","(MD0)(MD1)My grandfather was released from Belsen concentration camp(MD1), and he never fully recovered from what he saw.(MD0)","(MD0)(MD1)My grandfather liberated Belsen concentration camp(MD1), and never really recovered from what he saw.(MD0)"
"That deep hatred has existed for generations, not years.","Not years, but years.","(MD0)That deep hatred has existed for generations, not years.(MD0)","(MD0)That deep hatred lasts for generations, not years.(MD0)"
It becomes embedded in the collective identity and culture of the people,It is embedded in our collective identity and culture.,(MD0)It becomes embedded in the collective identity and culture of the people(MD0),(MD0)It becomes embedded in the collective identity and culture.(MD0)
Putin is lost in his own false propaganda and twisted interpretation of history.,Putin is lost in his own deceptive propaganda and twisted interpretation of history.,(MD0)Putin is lost in his own false propaganda and twisted interpretation of history.(MD0),(MD0)Putin is lost in his own false propaganda and twisted version of history.(MD0)
"He doesn't live in the 21st century, so he didn't know Ukraine has been open to the world ever since it sacked out his last puppet king.","He doesn't really live in the 21st century, so he didn't know that Ukraine has been open to the world ever since it sacked out his last puppet king.","(MD0)He doesn't live in the 21st century, so he didn't know Ukraine has been open to the world ever since it sacked out his last puppet king.(MD0)",(MD0)He does not really live in the 21st Century so he didn’t realise Ukraine has been open to the world ever since it kicked out his last puppet dictator.(MD0)
"Westerners have been there for holidays, and Ukrainians live and work in towns and cities around Europe and America.","Westerners have been to holidays for decades, and Ukrainians have lived and worked in towns and cities around Europe and America.","(MD0)Westerners have been there for holidays, and Ukrainians live and work in towns and cities around Europe and America.(MD0)","(MD0)Westerners have been there for holidays, and Ukrainians live and work in towns and cities across Europe and America.(MD0)"
Ukraine is not a far-away place with whom we have no emotional ties (as may be the case with Chechnya and Syria).,Ukraine is not a far-away place with whom we have no emotional ties (as may be the case with Chechnya and Syria).,(MD0) Ukraine is not a far-away place with whom we have no emotional ties (as may be the case with Chechnya and Syria).(MD0),"(MD0)Ukraine is not a far-away place with which we have no emotional ties (as may be, to our shame, the case with Chechnya and Syria).(MD0)"
Many of us in the West are watching the shelling of cities we've visited and seeing people we know post videos and photos of their homes and families under attack on our social media pages.,Many of us in the West are watching the shelling of cities we've visited and seeing people we know post videos and photos of their homes and families under attack on our social media pages.,(MD0)Many of us in the West are watching the shelling of cities we've visited and seeing people we know post videos and photos of their homes and families under attack on our social media pages.(MD0),(MD0)Many of us in the West are watching the shelling of cities we’ve visited and seeing people we know share videos and photos on our social media feeds of their homes and families under attack.(MD0)
