generated,expected,generated_md,original_md
"This morning, I awakened to the hopeful news that some Russian forces are pulling back from the border with Ukraine.","This morning, I awakened the hopeful news that some Russian forces are pulling back from Ukraine's border.","(MD0)This morning, I awakened to the hopeful news that some Russian forces are (MD1)pulling back from the border(MD1) with Ukraine.(MD0)",(MD0)This morning I woke up to the hopeful news that some Russian forces are (MD1)pulling back from the border(MD1) with Ukraine.(MD0)
"Unfortunately, this isn't quite the positive sign it should be.","This isn't quite the positive sign it should be, unfortunately.","(MD0)Unfortunately, this isn't quite the positive sign it should be.(MD0)","(MD0)Unfortunately, this isn’t quite the positive sign it might appear.(MD0)"
Anyone who is familiar with Russian military history and doctrine knows that Moscow relies on maskirovka.,Anyone who is familiar with Russian military history and doctrine knows that Moscow depends on what is often described as maskirovka.,(MD0)Anyone who is familiar with Russian military history and doctrine knows that Moscow relies on (MD1)maskirovka(MD1).(MD0),(MD0)Anyone who understands Russian military history and doctrine knows that Moscow relies on what is often called (MD1)maskirovka(MD1).(MD0)
"Russiaphobic bigots like Anne Applebaum seem to believe that Russians are always lying, but this isn't the case.","Anne Applebaum, a Russianphobic giant, insists that this means Russians are always lying, but that is not the case.","(MD0)Russiaphobic bigots (MD1)like Anne Applebaum(MD1) seem to believe that Russians are always lying, but this isn't the case.(MD0)","(MD0)Russiaphobic bigots (MD1)like Anne Applebaum(MD1) pretend this means Russians are always lying, but this isn’t at all the case.(MD0)"
"Maskirovka is about keeping an opponent guessing about your true intentions, and nothing more — everything else is just fluff designed to muddy waters.","Maskirovka is about keeping an opponent guessing about your true intentions, and nothing more — everything else is just fluff designed to muddy waters.","(MD0)Maskirovka is about keeping an opponent guessing about your true intentions, and nothing more — everything else is just fluff designed to muddy waters.(MD0)","(MD0)Maskirovka is about keeping an opponent guessing about your true intentions, and nothing more — everything else is just fluff designed to muddy waters.(MD0)"
"Putin, an old KGB hand, knows this game and plays it well.","Putin, an old KGB hand, knows this game and plays it well.","(MD0)Putin, an old KGB hand, knows this game and plays it well.(MD0)","(MD0)Putin, an old KGB hand, knows this game and plays it well.(MD0)"
Everything Russia has achieved for the past year makes perfect sense if you accept that what Putin is after is actually very straightforward.,"If you accept that what Putin is after is actually very straightforward, everything Russia has done for the past year makes perfect sense.",(MD0)Everything Russia has achieved for the past year makes perfect sense if you accept that what Putin is after is actually very straightforward.(MD0),(MD0)Everything Russia has done for the past year makes perfect sense if you accept that what Putin is after is in fact very simple.(MD0)
He wants Ukraine to become a Russian client state as Belarus is today.,"As Belarus is today, he wants Ukraine to become a Russian client state as it once was.",(MD0)He wants Ukraine to become a Russian client state as Belarus is today.(MD0),"(MD0)He wants Ukraine to become a Russian client state like it used to be, as Belarus is today.(MD0)"
This would rule out the likelihood that Ukraine will ever join NATO.,This would rule out the likelihood that Ukraine will ever join NATO.,(MD0)This would rule out the likelihood that Ukraine will ever join NATO.(MD0),(MD0)This means eliminating the possibility of Ukraine ever joining NATO.(MD0)
Any smart observer knows Ukraine isn't joining NATO any time soon.,Any savvy observer knows that Ukraine isn't going to join NATO any time soon.,(MD0)Any smart observer knows (MD1)Ukraine isn't joining NATO any time soon(MD1).(MD0),(MD0)Any savvy observer knows (MD1)Ukraine isn’t joining NATO any time soon(MD1).(MD0)
