generated,expected,generated_md,original_md
People don't want to discuss how the very concept of 'NFT value' is so complicated — one of the most complicated concepts I have ever investigated!,People don't like to discuss how the very concept of 'NFT value' is so complicated — one of the most complicated concepts I've ever investigated!,(MD0)People don't want to discuss how the very concept of 'NFT value' is so complicated — one of the most complicated concepts I have ever investigated!(MD0),(MD0)People don’t like to talk about how the very concept of ‘NFT value’ is extremely complicated — One of the most complex ideas I have ever studied!(MD0)
"People are then coerced into distorted representations by the media, who openly condemn these depictions.","People are thus coerced into inaccurate representations by the media, who routinely condemn these depictions.","(MD0)People are then coerced into distorted representations by the media, who openly condemn these depictions.(MD0)","(MD0)As a result, people are forced into distorted characterizations by the media, who roundly criticize these depictions.(MD0)"
"Furthermore, people trying to learn about NFTs ask basic questions to those ""in the know,"" and these questions were dismissed as ""dumb.""","In addition, people who want to know about NFTs ask simple questions to those who are ""in the know"" and are dismissed as ""dumb.""","(MD0)Furthermore, people trying to learn about NFTs ask basic questions to those ""in the know,"" and these questions were dismissed as ""dumb.""(MD0)","(MD0)Furthermore, when people trying to learn about NFTs ask basic questions to those “in the know,” these questions are shot down as being “dumb”.(MD0)"
I attest that these questions are not dumb as an educator.,I can assure you that these questions are not dumb as an educator.,(MD0)I attest that these questions are not dumb as an educator.(MD0),"(MD0)As an educator, I attest that these questions are not dumb.(MD0)"
"In fact, they're absolutely vital — anyone who reads NFTs more closely is expected to answer these questions for themselves at some point in their journey from JPEG to DAO.","In fact, they're absolutely vital — anyone who reads NFTs more closely is expected to answer these questions for themselves at some point in their journey from JPEG to DAO.","(MD0)In fact, they're absolutely vital — anyone who reads NFTs more closely is expected to answer these questions for themselves at some point in their journey from JPEG to DAO.(MD0)","(MD0)In fact, they’re absolutely essential — Everyone who understands NFTs more deeply was required to answer these questions for themselves at some point in their journey from JPEG to DAO.(MD0)"
The following ten questions were distilled from numerous conversations I've had teaching people about NFTs.,The following ten questions were distilled from countless conversations I've had with people about NFTs.,(MD0)The following ten questions were distilled from numerous conversations I've had teaching people about NFTs.(MD0),(MD0)The following 10 questions are distilled from countless conversations I’ve had teaching people about NFTs.(MD0)
The answer to every question is a significant step toward understanding the NFT's value.,Every question is a crucial step toward understanding the NFT's value.,(MD0)The answer to every question is a significant step toward understanding the NFT's value.(MD0),(MD0)The answer to every question is a necessary step toward grasping the value of the NFT.(MD0)
**1.,**1.,(MD0)**1.(MD0),(MD0)**1.(MD0)
How is an NFT different from a JPEG?,How is an NFT different from a JPEG?,(MD0)How is an NFT different from a JPEG?(MD0),(MD0)How is an NFT different from a JPEG?(MD0)
**,**,(MD0)**(MD0),(MD0)**(MD0)
"What is the difference between an NFT and just ""right-click saving"" an image online?","What is the difference between an NFT and just ""right-click saving"" an image online?","(MD0)What is the difference between an NFT and just ""right-click saving"" an image online?(MD0)",(MD0)What’s the difference between an NFT and just “right-click saving” an image online?(MD0)
NFTs are pieces of the internet that can actually be owned.,NFTs are actually owned items of the internet.,(MD0)NFTs are pieces of the internet that can actually be owned.(MD0),(MD0)NFTs are pieces of the internet that can actually be owned.(MD0)
"They are permanently embedded in a virtual record book that can never be changed, only added-onto.","They are embedded in a virtual record book that can never be updated, only added-onto.","(MD0)They are permanently embedded in a virtual record book that can never be changed, only added-onto.(MD0)","(MD0)They exist permanently in a virtual record book that can never be changed, only added-onto.(MD0)"
"With a verified owner, NFTs can behave like collectibles like baseball cards, such as baseball cards.","With a registered owner, NFTs will behave like collectibles like baseball cards.","(MD0)With a verified owner, NFTs can behave like collectibles like baseball cards, such as baseball cards.(MD0)","(MD0)This technology allows NFTs to behave kind of like collectibles, such as baseball cards, with a verified owner.(MD0)"
**2.,**2.,(MD0)**2.(MD0),(MD0)**2.(MD0)
If anyone wants to know who owns the photograph if anyone can just look at it?,If anyone wants to know who has the photograph if anyone wants to look at it?,(MD0)If anyone wants to know who owns the photograph if anyone can just look at it?(MD0),(MD0)Who cares who owns the image if anyone can just look at it?(MD0)
**,**,(MD0)**(MD0),(MD0)**(MD0)
"Just like anyone else can see a work of art in a gallery, only the owner has the right to sell it or commercialize it.","Just as anyone can see a work of art in a gallery, only the owner has the right to sell it or commercialize it.","(MD0)Just like anyone else can see a work of art in a gallery, only the owner has the right to sell it or commercialize it.(MD0)","(MD0)Just like anyone can go see a piece of art in a gallery, only the owner has the rights to sell it or commercialize it.(MD0)"
**3.,**3.,(MD0)**3.(MD0),(MD0)**3.(MD0)
So can I make my own NFTs and sell them?,So can I make my own NFTs and sell them?,(MD0)So can I make my own NFTs and sell them?(MD0),(MD0)So can I make my own NFTs and sell them?(MD0)
**,**,(MD0)**(MD0),(MD0)**(MD0)
"Yes, anyone can make their own NFTs, but they may not be easy to sell.","Yes, anyone can make their own NFTs, but they may not be cheap to sell.","(MD0)Yes, anyone can make their own NFTs, but they may not be easy to sell.(MD0)","(MD0)Yes, anyone can make their own NFTs, but they might not be easy to sell.(MD0)"
"For example, if you made your own baseball cards, would they be as valuable to others as ones made by Major League Baseball?","For example, if you made your own baseball cards, would they be as useful to others as ones made by Major League Baseball?","(MD0)For example, if you made your own baseball cards, would they be as valuable to others as ones made by Major League Baseball?(MD0)","(MD0)For example, if you made your own baseball cards, would they be as valuable to others as ones made by Major League Baseball?(MD0)"
"And if you're in the art world, will people be able to pay for your work?","Or, if you're in the art world, if people don't know you as an artist, will they be able to pay for your work?","(MD0)And if you're in the art world, will people be able to pay for your work?(MD0)","(MD0)Or if you’re in the art world — If people don’t know you as an artist, would they be willing to pay for your work?(MD0)"
**4.,**4.,(MD0)**4.(MD0),(MD0)**4.(MD0)
Why do certain NFTs sell for so much more than they do?,Why do certain NFTs sell for so much more than others?,(MD0)Why do certain NFTs sell for so much more than they do?(MD0),(MD0)Why do certain NFTs sell for so much then?(MD0)
**,**,(MD0)**(MD0),(MD0)**(MD0)
