generated,expected,generated_md,original_md
"""In summary, we have here [in the Soviet Union] a political force committed fanatically to the belief that there is no permanent modus vivendi, that our internal balance is essential and necessary, and that if Soviet power is to be secure,"" American diplomat George Kennan wrote these words in ""The Long Telegram"" as he set out. ""In summary, we have here [in the Soviet Union] that there isomo""""""(MD","In summary, we have here [in the Soviet Union] a political party committed adamantly to the belief that there is no permanent modus vivendi, our ancient way of life is jeopardized, and the international authority of our state must be broken if Soviet Union is to be secure,” American diplomat George Kennan wrote these words in what has become known as ""The Long Telegram"" as he began his analysis of the Soviet Union following World War II.","(MD0)""In summary, we have here [in the Soviet Union] a political force committed fanatically to the belief that there is no permanent (MD1)modus vivendi(MD1), that our internal balance is essential and necessary, and that if Soviet power is to be secure,"" American diplomat George Kennan wrote these words in ""The Long Telegram""(MD2) as he set out. (MD0) ""In summary, we have here [in the Soviet Union] that there isomo""(MD1)""(MD1)""(MD","(MD0)“In summary, we have here [in the Soviet Union] a political force committed fanatically to the belief that with US there can be no permanent (MD1)modus vivendi(MD1), that it is desirable and necessary that the internal harmony of our society be disrupted, our traditional way of life be destroyed, the international authority of our state be broken, if Soviet power is to be secure.” American diplomat George Kennan wrote these words in what has become famous as (MD2)“The Long Telegram”(MD2) as he set out his evaluation of the Soviet Union following World War II.(MD0)"
What followed was a war of more than 40 years between the two world's most influential powers.,What followed was a war of more than 40 years between the two world's most influential powers.,(MD0)What followed was a war of more than 40 years between the two world's most influential powers.(MD0),(MD0)What ensued was a conflict of more than 40 years between the two dominant powers of the globe.(MD0)
"The two empires were unable to confront each other directly, despite ever expanding nuclear arsenals.",The two empires were unable to confront each other directly because of ever expanding nuclear arsenals.,"(MD0)The two empires were unable to confront each other directly, despite ever expanding nuclear arsenals.(MD0)",(MD0)Armed with ever expanding nuclear arsenals the two empires found themselves unable to face each other directly.(MD0)
"Instead, their ideological rivalry devolved into clandestine strikes, economic power grabs, and open warfare that engulfed every corner of the globe.","Rather, clandestine strikes, economic power grabs, and open warfare engulfed every corner of the world.","(MD0)Instead, their ideological rivalry devolved into clandestine strikes, economic power grabs, and open warfare that engulfed every corner of the globe.(MD0)","(MD0)Instead, their ideological rivalry devolved into clandestine strikes, economic power grabs, and open warfare that engulfed every corner of the globe.(MD0)"
The United States emerged with an unquestioned military and political hegemony over the entire globe when the Soviet Union collapsed in 1991.,The United States emerged with an unquestioned military and political hegemony over the entire globe when the Soviet Union collapsed in 1991.,(MD0)The United States emerged with an unquestioned military and political hegemony over the entire globe when the Soviet Union collapsed in 1991.(MD0),"(MD0)When the Soviet Union collapsed in 1991, the United States emerged with an unquestioned military and political hegemony over the entire globe.(MD0)"
The American ideological system had gone the distance where the USSR's had failed.,The American ideological system had slowed to a point where the USSR's failed.,(MD0)The American ideological system had gone the distance where the USSR's had failed.(MD0),(MD0)The American ideological system had gone the distance where that of the USSR had failed.(MD0)
"Now a new war of a similar vein has started, and perhaps future history books will show that world wars in the nuclear age were all cold wars.","A new war of a similar vein has started, and it is likely that future history books will show that world wars in the nuclear age were all cold wars.","(MD0)Now a new war of a similar vein has started, and perhaps future history books will show that world wars in the nuclear age were all cold wars.(MD0)","(MD0)Now a new conflict of a similar vein has begun, possibly future history books will record that world wars in the nuclear age were all cold wars.(MD0)"
"However, the Second Cold War has started.","Despite this, the Second Cold War has started.","(MD0)However, the Second Cold War has started.(MD0)","(MD0)Regardless, the Second Cold War has begun.(MD0)"
"The Russian invasion of Ukraine has ignited long-running tensions and divisions, much like the assassination of Archduke Franz Ferdinand and the Nazi invasion of Poland.","The Russian invasion of Ukraine has ignited long-running tensions and divisions, much like the assassination of Archduke Franz Ferdinand and the Nazi invasion of Poland.","(MD0)The Russian invasion of Ukraine has ignited long-running tensions and divisions, much like the assassination of Archduke Franz Ferdinand and the Nazi invasion of Poland.(MD0)","(MD0)Much like the assassination of the Archduke Franz Ferdinand and the Nazi invasion of Poland, the Russian invasion of Ukraine has ignited a touchpaper that merely crystalized long simmering tensions and divisions.(MD0)"
"Though Russia is now a rival of the US and NATO (North Atlantic Treaty Organization) led bloc, this time around, they are still the junior partner of the influential and ascendant People's Republic of China's","Though Russia is now a rival of the US and NATO (North Atlantic Treaty Organization) led bloc, this time they are still the junior partner of China's mighty and ascendant People's Republic.","(MD0)Though Russia is now a rival of the US and NATO (North Atlantic Treaty Organization) led bloc, this time around, they are still the (MD1)junior partner(MD1) of the influential and ascendant People's Republic of China's (MD0)","(MD0)While Russia is again a rival of the US and NATO (North Atlantic Treaty Organization) led bloc, this time around they are very much the (MD1)junior partner(MD1) of the powerful and ascendant People’s Republic of China.(MD0)"
"This cold war has yet another defining feature, its ideological division.",The ideological divide is another defining characteristic of this cold war.,"(MD0)This cold war has yet another defining feature, its ideological division.(MD0)","(MD0)This cold war has another fundamental distinguishing factor, its ideological divide.(MD0)"
A political divide between democratic and authoritarian regimes exists in place of the duel between capitalist and communist economic structures.,A political divide between democratic and authoritarian regimes stands in place of the duel between capitalist and communist economic structures.,(MD0)A political divide between democratic and authoritarian regimes exists in place of the duel between capitalist and communist economic structures.(MD0),(MD0)In place of the duel between capitalist and communist economic systems is a political divide between democratic and authoritarian systems.(MD0)
This Second Cold War will either be the grave of liberal democracy or the biggest triumph since World War II.,This Second Cold War will either be the death of liberal democracy or the biggest triumph since World War II.,(MD0)This Second Cold War will either be the grave of liberal democracy or the biggest triumph since World War II.(MD0),(MD0)This Second Cold War will either be the grave of liberal democracy or its greatest triumph since World War II.(MD0)
Overly simplistic reports will show that this new cold war can be conceptualized within a similar framework to the old one for two reasons.,"According to overly simplistic reports, this new cold war can be imagined within a similar framework to the old one for two reasons.",(MD0)Overly simplistic reports will show that this new cold war can be conceptualized within a similar framework to the old one for two reasons.(MD0),(MD0)Overly simplistic analyses will suggest that this new cold war can be conceived within a similar framework to the old one for two different reasons.(MD0)
"First, it will be suggested that China is now another communist power battling the capitalist world.","First, it will be said that China is now another communist power in the capitalist world.","(MD0)First, it will be suggested that China is now another communist power battling the capitalist world.(MD0)","(MD0)First, it will be suggested that China is yet another communist power challenging the capitalist world.(MD0)"
"This is inaccurate, pure economic communism anywhere in the world is long dead.","This is inaccurate, pure economic communism in the world is long dead.","(MD0)This is inaccurate, pure economic communism anywhere in the world is long dead.(MD0)","(MD0)This is incorrect, pure economic communism anywhere in the world is long dead.(MD0)"
"Since the 1970s, the Chinese government has shifted away from traditional communism and toward a new model of authoritarian capitalism, for the lack of a better term.","For the lack of a better term, the Chinese government has moved away from traditional communism and toward a new model of authoritarian capitalism.","(MD0)Since the 1970s, the Chinese government has shifted away from traditional communism and toward a new model of (MD1)authoritarian capitalism(MD1), for the lack of a better term.(MD0)","(MD0)Since the 1970’s the Chinese government has transitioned away from traditional communism and embraced a unique amalgam that can be described as (MD1)authoritarian capitalism(MD1), for lack of a better term.(MD0)"
"State control is still abounding, but rigorous central economic planning and collection does not.","State control is still abound, but strict central economic planning and collection does not exist.","(MD0)State control is still abounding, but rigorous central economic planning and collection does not.(MD0)",(MD0)State control still abounds but rigorous central economic planning and collectivization does not.(MD0)
Competition and creativity are strongly encouraged within the state's boundaries.,"Within the boundaries set by the state legislature, creativity and innovation are actively encouraged.",(MD0)Competition and creativity are strongly encouraged within the state's boundaries.(MD0),(MD0)Competition and innovation are actively encouraged within the bounds the state sets.(MD0)
"Meanwhile, socialist theories and policies have achieved varying degrees of acceptability and implementation around the democratic world.","In the meantime, socialist theories and policies have achieved varying degrees of acceptability and implementation around the world.","(MD0)Meanwhile, socialist theories and policies have achieved varying degrees of acceptability and implementation around the democratic world.(MD0)","(MD0)Meanwhile, socialist ideas and policies have reached varying degrees of acceptability and implementation across the democratic world.(MD0)"
"Second, some may have argued that the First Cold War was still a contest between democracy and authoritarianism.","Second, some may have argued that the First Cold War was still a contest between democracy and authoritarianism.","(MD0)Second, some may have argued that the First Cold War was still a contest between democracy and authoritarianism.(MD0)","(MD0)Second, some may stipulate that the First Cold War was already a competition between democracy and authoritarianism.(MD0)"
This argument simply does not stand up to historical scrutiny.,This argument simply does not stand up to historical scrutiny.,(MD0)This argument simply does not stand up to historical scrutiny.(MD0),(MD0)This contention simply does not survive historical examination.(MD0)
"While both of the main combatants, particularly the United States, appeared to be fighting democracy's cause, it was never more than a secondary issue, if that.","Although both of the main combatants, particularly the US, claimed to be fighting democracy's cause, it was never more than a secondary concern, if that.","(MD0)While both of the main combatants, particularly the United States, appeared to be fighting democracy's cause, it was never more than a secondary issue, if that.(MD0)","(MD0)While both of the primary combatants, particularly the United States, claimed to be fighting democracy’s cause, it was never more than a secondary concern, if that.(MD0)"
The developing world was rife with failed and or authoritarian regimes that were propped up or sponsored by the US because of those regimes' commitment to anti-communism.,The developing world was rife with failed and or authoritarian regimes that were propped up or funded by the US because of those regimes' commitment to anti-communism.,(MD0)The developing world was rife with failed and or authoritarian regimes that were propped up or sponsored by the US because of those regimes' commitment to anti-communism.(MD0),(MD0)The developing world was rife with corrupt and or authoritarian regimes that were propped up or supported by the United States because of the commitment of those regimes to anti-communism.(MD0)
