generated,expected,generated_md,original_md
"In other words, they don't want to be there.","In other words, they don't want to be there.","(MD0) In other words, they don't want to be there. (MD0)","(MD0)In other words, they don’t want to be there.(MD0)"
Then we know the rumors of martial law (I believe it will come) were tamped down by Vladimir Putin.,We now know the rumors of martial law (I believe it will come) were tamped down by Vladimir Putin.,(MD0) Then we know the rumors of martial law (I believe it will come) were tamped down by Vladimir Putin (MD0).,(MD0)Then we know the rumors of martial law (I believe it will come) were tamped down by Vladimir Putin.(MD0)
Demonstrations continue throughout the federation.,Demonstrations are also ongoing throughout the federation.,(MD0) Demonstrations continue throughout the federation. (MD0),(MD0)Demonstrations continue across the federation.(MD0)
"It's not limited to the more cosmopolitan areas of the federation, such as Moscow and St Petersburg.","It's not limited to Moscow and St Petersburg, which are located in the more cosmopolitan areas of the federation.","(MD0) It's not limited to the more cosmopolitan areas of the federation, such as Moscow and St Petersburg. (MD0)",(MD0)It’s not just in the more cosmopolitan areas of the federation like Moscow and St Petersburg.(MD0)
It's also in places like Kazakhstan.,It's also in places like Kazakhstan.,(MD0) It's also in places like (MD1)Kazakhstan(MD1) (MD0).,(MD0)It’s also in places like (MD1)Kazakhstan(MD1).(MD0)
"MD0) This is a client state of the Russian Federation, not like Chechnya.","This is a Russian Federation client state, not like Chechnya.","MD0) This is a client state of the Russian Federation, not like Chechnya. (MD0)","(MD0)This is a client state of the Russian Federation, not unlike Chechnya.(MD0)"
"They may be attempting to avoid sanctions, but it is still very significant.","They may be attempting to avoid sanctions, but it is still very significant.","(MD0) They may be attempting to avoid sanctions, but it is still very significant. (MD0)","(MD0)They may be trying to avoid sanctions, but it is very significant.(MD0)"
It means there is internal dissatisfaction.,It means there is internal dissatisfaction.,(MD0) It means there is internal dissatisfaction. (MD0),(MD0)It means there is internal dissent.(MD0)
There's more information here.,There's more information.,(MD0) There's more information here. (MD0),(MD0)There is another detail.(MD0)
"A large portion of the national guard, the Rosgvardya, has been sent to Ukraine.","A large portion of the national guard, the Rosgvardya, has been sent to Ukraine.","(MD0) A large portion of the national guard, the Rosgvardya, has been sent to Ukraine. (MD0)","(MD0)A lot of the national guard, the Rosgvardyia, have been deployed to Ukraine.(MD0)"
"Many have been killed or injured, according to MD0.",Many people have been killed or injured.,"(MD0)Many have been killed or injured, according to MD0. (MD0)",(MD0)Many have been killed or injured.(MD0)
Some people are in captivity at this time.,"At this time, several people are in captivity.",(MD0) Some people are in captivity at this time. (MD0),(MD0)Some are in captivity at this point.(MD0)
I will not post any video or audio of them speaking to the media because it is in breach of the Geneva Convention.,"Given that it is a violation of the Geneva Convention, I will not postpone either video or audio of them speaking to the media.",(MD0) I will not post any video or audio of them speaking to the media because it is in breach of the Geneva Convention. (MD0),"(MD0)I will not link to either video or audio of them speaking to the press, given it is a violation of the Geneva Convention.(MD0)"
"In time, those testimonies should be added to war crimes and the history of the conflict.","In time, such testimonies should be added to war crimes and the history of the conflict.","(MD0) In time, those testimonies should be added to war crimes and the history of the conflict. (MD0)",(MD0)In time those testimonies should be added to war crimes and the history of the conflict.(MD0)
I cannot express myself in any conscience as a former Red Cross medic,I cannot express myself in any conscience as a former Red Cross medic.,(MD0) I cannot express myself in any conscience as a former Red Cross medic (MD0),(MD0)As a former Red Cross medic I cannot share in any conscience(MD0)
"However, they seem to confirm a common tale we've heard.","However, they do seem to confirm a common tale we've heard.","(MD0)However, they seem to confirm a common tale we've heard. (MD0)","(MD0)However, they seem to confirm a common story we have heard.(MD0)"
They didn't know they were sent to war,They had no idea they were going to war.,(MD0) They didn't know they were sent to war (MD0),(MD0)They did not know they were deployed to war.(MD0)
They don't want to be there.,They don't want to be there.,(MD0) They don't want to be there. (MD0),(MD0)They don’t want to be there.(MD0)
They owe their government to their government.,They owe their government.,(MD0) They owe their government to their government. (MD0),(MD0)They blame their government.(MD0)
"We also know a lot of the troops were conscripts, who were coerced to sign contracts.","We also know that a large number of the troops were conscripts, who were coerced to sign contracts.","(MD0) We also know a lot of the troops were conscripts, who were coerced to sign contracts. (MD0)","(MD0)We also know a lot of the troops were conscripts, who were forced to sign contracts.(MD0)"
This is how Putin's assertion that only contract soldiers are on the front lines can defy the truth.,This is how Putin's assertion that only contract soldiers are on the front lines can defy the truth.,(MD0) This is how Putin's assertion that only contract soldiers are on the front lines can defy the truth. (MD0),(MD0)This is how Putin’s words that only contract soldiers are on the front lines can skirt the reality.(MD0)
He is correct on technical terms.,He is correct on technical terms.,(MD0) He is correct on technical terms. (MD0),(MD0)Technically he is right.(MD0)
He is not telling people how these conscripts were coerced to do this.,He is not telling people how these conscripts were coerced to do this.,(MD0) He is not telling people how these conscripts were coerced to do this. (MD0),(MD0)He is not telling people how these conscripts were forced to do this.(MD0)
"The supply chains are so bad that a forty-mile convoy appears to be stuck, perhaps abandoned.","The supply chains are so bad that a forty-mile convoy seems to be stuck, or even abandoned.","(MD0) The supply chains are so bad that a forty-mile convoy appears to be stuck, perhaps abandoned. (MD0)","(MD0)The supply chains are so broken that a forty-mile convoy seems stuck, perhaps abandoned.(MD0)"
This is not helping. This is not helping.,This isn't helping.,(MD0) This is not helping. (MD0) This is not helping. (MD0),(MD0)This is not helping.(MD0)
"If you are a Russian military planner, you know this is a disaster.",You know this is going to be a disaster if you are a Russian military planner.,"(MD0) If you are a Russian military planner, you know this is a disaster. (MD0)","(MD0)If you are a Russian military planner, you know this is a disaster.(MD0)"
"MD0) If you're wondering how the oligarchs acquired all the yachts, planes, and houses in other countries, here's why.","This is why the oligarchs bought all the yachts, planes, and houses in the United States.","MD0) If you're wondering how the oligarchs acquired all the yachts, planes, and houses in other countries, here's why. (MD0)","(MD0)If you wonder how the oligarchs bought all the yachts, planes, and houses abroad, this is why.(MD0)"
