generated,expected,generated_md,original_md
"People are forced into distorted characterizations by the media, who roundly criticize these depictions.","People don't like to talk about how the concept of ‘NFT value’ is extremely complicated. People are forced into distorted characterizations by the media, who roundly criticize these depictions.","People are forced into distorted characterizations by the media, who roundly criticize these depictions.","(MD0)People don’t like to talk about how the very concept of ‘NFT value’ is extremely complicated — One of the most complex ideas I have ever studied! As a result, people are forced into distorted characterizations by the media, who roundly criticize these depictions. Furthermore, when people trying to learn about NFTs ask basic questions to those “in the know,” these questions are shot down as being “dumb”.(MD0)"
The answer to every question is a necessary step toward grasping the value of the NFT.,The answer to every question is a necessary step toward grasping the value of the NFT. The following 10 questions are distilled from countless conversations I’ve had teaching people about NFTs.,The answer to every question is a necessary step toward grasping the value of the NFT.,"(MD0)As an educator, I attest that these questions are not dumb. In fact, they’re absolutely essential — Everyone who understands NFTs more deeply was required to answer these questions for themselves at some point in their journey from JPEG to DAO. The following 10 questions are distilled from countless conversations I’ve had teaching people about NFTs. The answer to every question is a necessary step toward grasping the value of the NFT.(MD0)(MD0)(MD1)1. How is an NFT different from a JPEG?(MD1)(MD0)"
"NFTs are pieces of the internet that can actually be owned. They exist permanently in a virtual record book that can never be changed, only added-onto.","NFTs are pieces of the internet that can actually be owned. They exist permanently in a virtual record book that can never be changed, only added-onto.","NFTs are pieces of the internet that can actually be owned. They exist permanently in a virtual record book that can never be changed, only added-onto.","(MD0)What’s the difference between an NFT and just “right-click saving” an image online? NFTs are pieces of the internet that can actually be owned. They exist permanently in a virtual record book that can never be changed, only added-onto. This technology allows NFTs to behave kind of like collectibles, such as baseball cards, with a verified owner.(MD0)(MD0)(MD1)2. Who cares who owns the image if anyone can just look at it?(MD1)(MD0)"
Only the owner has the rights to sell it or commercialize it.,"Anyone can make their own NFTs and sell them, but they might not be easy to sell. For example, if you made your own baseball cards, would they be as valuable to others as ones made by Major League Baseball?",Only the owner has the rights to sell it or commercialize it.,"(MD0)Just like anyone can go see a piece of art in a gallery, only the owner has the rights to sell it or commercialize it.(MD0)(MD0)(MD1)3. So can I make my own NFTs and sell them?(MD1)(MD0)(MD0)Yes, anyone can make their own NFTs, but they might not be easy to sell. For example, if you made your own baseball cards, would they be as valuable to others as ones made by Major League Baseball? Or if you’re in the art world — If people don’t know you as an artist, would they be willing to pay for your work?(MD0)"
NFTs sell for so much then?,4.4. Why do certain NFTs sell for so much then?,NFTs sell for so much then?,(MD0)(MD1)4. Why do certain NFTs sell for so much then?(MD1)(MD0)
The CryptoPunks collection is recognized as the first NFT collection ever created.,The CryptoPunks collection is recognized as the first NFT collection ever created.,The CryptoPunks collection is recognized as the first NFT collection ever created.,"(MD0)Most valuable NFTs are a part of a recognized collection. These collections have a finite number of NFTs in them and some collections have become quite famous and desirable— often for different reasons. For example, the Bored Ape Yacht Club (BAYC) collection is now a recognized brand that celebrities and businesses buy into every week. In contrast, the CryptoPunks collection is recognized as the first NFT collection ever created. Owning a Punk is like owning a piece of technological history. As a collection becomes more valued, so does each constituent NFT.(MD0)"
It is easy to verify online whether your NFT is part of a recognized collection or not.,It's easy to verify online whether your NFT is part of a recognized collection or not.,It is easy to verify online whether your NFT is part of a recognized collection or not.,"(MD0)It’s important to note that it is easy to verify online whether your NFT is part of a recognized collection or not. So while you can make an NFT for free that looks just like an NFT from a valuable collection worth thousands, anyone online can easily see that it is not an authentic piece from the original collection.(MD0)(MD0)(MD1)5. Is that all?(MD1)(MD0)"
The idea of a community of owners is built-in to the concept of every NFT collection.,The idea of a community of owners is built-in to the concept of every NFT collection. NFTs are uncannily effective at organizing communities of like-minded individuals both virtually and in-person.,The idea of a community of owners is built-in to the concept of every NFT collection.,"(MD0)NFTs are not the same thing as cryptocurrencies, speculation, profits, or scams. In fact, believe it or not, the essence of an NFT collection is actually “community”. The idea of a community of owners is built-in to the very concept of every NFT collection. The most basic example of this is the proliferation of private online chat rooms open only to individuals that can verify that they own a piece of a particular NFT collection. This aspect of value is very difficult to articulate to those who have never been a part of an NFT community. Even upon reflection, all I can say is that NFTs are uncannily effective at organizing communities of like-minded individuals both virtually and in-person — To truly comprehend what this means, I suggest jumping into one such community yourself!(MD0)"
NFTs are just a way to buy friends.,NFTs are just a way to buy friends.,NFTs are just a way to buy friends.,(MD0)(MD1)6. So are NFTs just a way to buy friends?(MD1)(MD0)
"Some NFTs allow you to be a part-owner in a real-world asset, such as a business. Others let you directly support your favorite musical artists.","Some NFTs allow you to be a part-owner in a real-world asset, such as a business. Others let you directly support your favorite musical artists.","Some NFTs allow you to be a part-owner in a real-world asset, such as a business. Others let you directly support your favorite musical artists.","(MD0)NFTs are not unlike memberships to a country club or social club, but they can be so much more. NFTs these days have moved beyond the artwork attached to them (which, I admit, is often terrible) to encompass a wide variety of different uses, or “utilities”. Some NFTs allow you to be a part-owner in a real-world asset, such as a business. Others allow you to directly support your favorite musical artists, who then share their profits with the owners of their NFTs. Simply put, NFTs are redefining ownership of both virtual and physical assets.(MD0)"
Why do you need NFTs to join a club or invest in a business?,7.7. Why do you need NFTs to join a club or invest in a business?,Why do you need NFTs to join a club or invest in a business?,(MD0)(MD1)7. Why do you need NFTs to join a club or invest in a business?(MD1)(MD0)
"NFTs are revolutionary in the sense that they make membership or ownership easily buyable, sellable, and transferable among individuals through online marketplaces. Ownership is easily verified online by looking at your digital wallet.","NFTs are revolutionary in the sense that they make membership or ownership easily buyable, sellable, and transferable among individuals through online marketplaces. Ownership is easily verified online by looking at your digital wallet.","NFTs are revolutionary in the sense that they make membership or ownership easily buyable, sellable, and transferable among individuals through online marketplaces. Ownership is easily verified online by looking at your digital wallet.","(MD0)NFTs are revolutionary in the sense that they make membership or ownership easily buyable, sellable, and transferable among individuals through online marketplaces for NFTs. Ownership of particular NFTs is easily verified online by looking at your digital wallet. NFTs can even be structured into Decentralized Autonomous Organizations (DAOs), which are like mini-corporations with no central leadership that can execute decisions based on automatic voting mechanisms controlled bottom-up by NFT holders. Isn’t that wild?(MD0)"
Are NFTs a fad?,8.8. 8.8: Are NFTs a fad?,Are NFTs a fad?,(MD0)(MD1)8. Are NFTs a fad?(MD1)(MD0)
NFTs are simply an evolution of what many perceive to be valuable.,"NFTs are simply an evolution of what many perceive to be valuable, says author.",NFTs are simply an evolution of what many perceive to be valuable.,"(MD0)Fads become popular suddenly but usually do not stay popular for very long. NFTs certainly share some characteristics of fads! For example, NFT value is rather subjective and NFTs have dramatically risen in popularity in the last year. But although the value of NFTs is completely determined by the community, this isn’t as alarming as it seems. While it may be difficult to understand at first why people value intangible assets like NFTs, let’s back up a bit and discuss value in general. Why do people value Teslas or Rolexes or that Saint Laurent leather jacket? What about abstract art? At one point in time, I guarantee you many questioned the value of items tied to such intangible worth. They don’t anymore. NFTs, I argue, are simply an evolution of what many perceive to be valuable.(MD0)"
The essence of an NFT collection is actually the community organized by virtue of shared ownership of virtual assets.,"The essence of an NFT collection is actually the community organized by virtue of shared ownership of virtual assets. Because of the power of NFTs to organize such communities, I do believe N FTs are here to stay.",The essence of an NFT collection is actually the community organized by virtue of shared ownership of virtual assets.,"(MD0)(MD1)9. So NFTs are here to stay?(MD1)(MD0)(MD0)Wow, we’ve come a long way from JPEGs. Hopefully, I’ve communicated that, although people can buy, sell, and profit from their NFTs, the essence of an NFT collection is actually the community organized by virtue of shared ownership of virtual assets. Because of the power of NFTs to organize such communities, I do believe NFTs are here to stay.(MD0)(MD0)(MD1)10. What’s next?(MD1)(MD0)"
