generated,expected,generated_md,original_md
"In 1956, three years after Stalin’s death, Nikita Khrushchev delivered a speech called, on The Cult Of Personality And Its Consequences.","In 1956, three years after Stalin’s death, Nikita Khrushchev delivered a speech called, On The Cult Of Personality And Its Consequences.","In 1956, three years after Stalin’s death, Nikita Khrushchev delivered a speech called, (MD1)(MD2) on The Cult Of Personality And Its Consequences.","(MD0)In 1956, three years after Stalin’s death, Russia’s First Party Secretary, Nikita Khrushchev, delivered a speech called, (MD1)(MD2)On The Cult Of Personality And Its Consequences(MD2)(MD1)(MD2),(MD2) in which he roundly criticised Stalin’s foundationally dishonest, authoritarian brand of leadership:(MD0)"
"Once Stalin’s ‘cult of personality’ had been revealed as a lie, all that was left was reality.","Once Stalin's 'cult of personality' had been revealed as a lie, all that was left was reality. Putin's repeated attempts to deny it.","Once Stalin’s ‘cult of personality’ had been revealed as a lie, all that was left was reality.","(MD0)The speech, which was never officially made public, nonetheless (MD1)sent shockwaves(MD1) through the Soviet Union and the Soviet Bloc. Once Stalin’s “cult of personality” had been revealed as a lie, all that was left was reality.(MD0)(MD0)As I’ve watched the nightmare unfolding in Ukraine, I keep being dragged back to that question of reality. Primarily by Putin’s repeated attempts to deny it.(MD0)"
"There are the downright Orwellian attempts to frame Russia as liberators instead of occupiers. There’s his portrayal of Luhansk and Donetsk as ( MD3)plucky, newly-independent states when they’ve been Russia-controlled, totalitarian statelets(MD4",There are the downright Orwellian attempts to frame Russia as liberators instead of occupiers.,"There are the downright Orwellian attempts to frame Russia as (MD2)liberators instead of occupiers. There’s his portrayal of Luhansk and Donetsk as ( MD3)plucky, newly-independent states(MD3) when they’ve been (MD4)Russia-controlled, totalitarian statelets(MD4","(MD0)There’s his bizarre claim that Ukraine is being run by (MD1)drug addicts and Neo-Nazis(MD1) (especially strange given that Volodymyr Zelenskyy, the Ukrainian president, is Jewish). There are the downright Orwellian attempts to frame Russia as (MD2)liberators instead of occupiers(MD2). There’s his portrayal of Luhansk and Donetsk as (MD3)plucky, newly-independent states(MD3) when they’ve been (MD4)Russia-controlled, totalitarian statelets(MD4) for the past 8 years.(MD0)"
Putin's remarks as he tried to justify the impending economic sanctions to an assembly of oligarchs stood out.,Putin tried to justify the impending economic sanctions to an assembly of oligarchs.,Putin's remarks as he tried to justify the impending economic sanctions to an assembly of oligarchs stood out.,"(MD0)Putin, it seemed, had also completely lost consciousness of reality.(MD0)(MD0)But maybe that’s why (MD1)his remarks(MD1) as he tried to justify the impending economic sanctions to an assembly of oligarchs stood out:(MD0)"
"The question is, what is putting Russia's security at such great risk? How could Ukraine's independence possibly pose a threat to Russia’s existence?","The question is, what is putting Russia's security at such great risk? How could Ukraine's independence possibly pose a threat to Russia’s existence?","The question is, what is putting Russia's security at such great risk? How could Ukraine's independence possibly pose a threat to Russia’s existence?","(MD0)This, at least from Putin’s perspective, is almost certainly true. After all, even for Putin, it’s hard to believe that a military invasion was his preferred option. The question is, what is putting Russia’s security at such great “risk”? How could Ukraine’s independence possibly pose a threat to Russia’s existence?(MD0)(MD0)And here, we arrive at the only thing that truly terrifies leaders like these; the truth.(MD0)"
Trump described Putin’s fabricated justifications for the Ukraine invasion as “genius( MD2) and “wonderful”,Russia tightened news censorship as news of the scale of their losses began to roll in. It's no coincidence that modern-day dictatorships like Russia exert such stringent controls over the information their citizens can access.,Trump described Putin’s fabricated justifications for the Ukraine invasion as “(MD2)genius( MD2) and “wonderful”,"(MD0)It’s no coincidence that Trump, the president of “(MD1)alternative facts(MD1)"" and “fake news” described Putin’s fabricated justifications for the Ukraine invasion as “(MD2)genius(MD2)” and “wonderful”. It’s no coincidence that Russia (MD3)tightened news censorship(MD3) as news of the (MD4)scale of their losses(MD4) began to roll in. It’s no coincidence that modern-day dictatorships like Russia (see also China and North Korea) exert such stringent controls over the information their citizens can access.(MD0)"
Ukraine's embrace of democracy and recent efforts to join the European Union represented a country right on Russia's doorstep.,"Ukraine's embrace of democracy and recent efforts to join the European Union represented a country right on Russia's doorstep. With the Russian and Ukrainian people in such close contact, it would be all but impossible to maintain his hold over their reality.",Ukraine's embrace of democracy and recent efforts to join the European Union represented a country right on Russia's doorstep.,"(MD0)The easiest way to control a population is to control what they see and hear and think. And Ukraine’s embrace of democracy and recent efforts to join the European Union represented a country, right on Russia’s doorstep, whose thoughts Putin couldn’t control. With the Russian and Ukrainian people in such close contact, it would be all but impossible to maintain his hold over their reality.(MD0)(MD0)It appears he considers this a threat worth going to war with NATO over.(MD0)"
"The playbook they used, even if it's not being used to the same devastating effect, is alive and well today.","The playbook they used, even if it's not being used to the same devastating effect, is alive and well today.","The playbook they used, even if it's not being used to the same devastating effect, is alive and well today.","(MD0)It’s easy to feel detached from the great dictators of history. By the sheer scale of the harm they caused. But the playbook they used, even if it’s not being used to the same devastating effect, is alive and well today.(MD0)"
"Modern-day dictators still cling to power, as evidenced by North Korea's 74 year Kim dynasty, Putin's combined 19-year run as president of Russia and Trump's desperate bid to overturn the 2020 election.","Modern-day dictators still cling to power, as evidenced by North Korea’s 74 year Kim dynasty, Putin’'s combined 19-year run as president of Russia.","Modern-day dictators still cling to power, as evidenced by North Korea's (MD1)74 year Kim dynasty(MD1), Putin's combined 19-year run as president of Russia (MD2) and Trump's desperate bid to overturn the 2020 election.","(MD0)Modern-day dictators still cling to power, as evidenced by North Korea’s (MD1)74 year Kim dynasty(MD1), Putin’s combined 19-year run as president of Russia (achieved by exploiting loopholes and even (MD2)rewriting the constitution(MD2)), and Trump’s desperate bid to overturn the 2020 election. In the immortal words of Mark Twain, “(MD3)Politicians and diapers must be changed often. And for the same reason(MD3).”(MD0)"
There's the inevitable sabre-rattling when their ego is threatened.,"There's the inevitable sabre-rattling when their ego is threatened, as seen during Kim Jong-un and Donald Trump's infamous spat.",There's the inevitable sabre-rattling when their ego is threatened.,"(MD0)There’s the inevitable sabre-rattling when their ego is threatened, as seen during Kim Jong-un and Donald Trump’s infamous spat about the size of their…ahem, “(MD1)(MD2)nuclear buttons(MD2)(MD1)."" Or Putin’s threats this weekend of (MD3)mutually assured destruction(MD3).(MD0)(MD0)And most of all, there’s the cult-like control they exert over their followers.(MD0)"
